"ID","Gender","City_Code","City_Category","Employer_Category1","Employer_Category2","Monthly_Income","Customer_Existing_Primary_Bank_Code","Primary_Bank_Type","Contacted","Source","Source_Category","Existing_EMI","Loan_Amount","Loan_Period","Var1","DOBDay","DOBMonth","DOBYear","Lead_Creation_DateDay","Lead_Creation_DateMonth","LeadCreationDOW","Age"
"APPM70899441824","Male","C10001","A","A","1",2500,"B003","G","Y","S133","B",500,20000,4,"10",4,5,85,4,5,"Monday",68.8794520547945
"APPQ30032676237","Male","C10002","A","B","4",2700,"B002","P","Y","S122","F",0,36000,4,"4",29,11,86,29,11,"Monday",70.4520547945205
"APPY10117367033","Male","C10040","C","A","1",3400,"B003","G","Y","S133","C",0,53000,5,"4",1,9,86,1,9,"Monday",70.2082191780822
"APPA90648256235","Female","C10003","A","C","4",2600,"B002","P","Y","S133","B",0,50000,5,"10",28,9,81,28,9,"Monday",65.2794520547945
"APPG50219455814","Male","C10004","A","A","4",2875,"B007","G","Y","S133","B",0,50000,5,"7",10,8,92,10,8,"Monday",76.1534246575342
"APPH20869834921","Male","C10002","A","A","4",3000,"B011","P","Y","S133","B",477.2,15000,2,"7",22,10,91,22,10,"Monday",75.3506849315068
"APPK70526863207","Male","C10002","A","C","1",3000,"B004","P","Y","S133","B",0,20000,2,"10",4,2,90,4,2,"Monday",73.6383561643836
"APPM90928365408","Female","C10006","A","B","4",1650,"","","Y","S159","B",0,10000,2,"2",9,11,85,9,11,"Monday",69.3972602739726
"APPN10931014529","Male","C10007","A","B","4",3650,"B002","P","Y","S133","E",1000,30000,4,"10",21,8,85,21,8,"Monday",69.1780821917808
"APPO80748389619","Female","C10001","A","A","4",1200,"B001","P","Y","S122","B",100,12000,2,"0",15,12,92,15,12,"Monday",76.5013698630137
"APPT30674814103","Male","C10002","A","B","4",5400,"B005","P","Y","S133","C",0,97000,5,"10",26,1,80,26,1,"Monday",63.6054794520548
"APPA30945815838","Male","C10002","A","A","4",2200,"B003","G","Y","S133","E",500,20000,5,"4",7,6,87,7,6,"Monday",70.972602739726
"APPD40912544143","Male","C10001","A","C","4",15000,"B001","P","Y","S122","B",0,120000,5,"10",10,10,81,10,10,"Monday",65.3123287671233
"APPF90697276337","Male","C10002","A","A","4",2150,"B003","G","Y","S133","C",0,31000,5,"4",31,8,83,31,8,"Monday",67.2027397260274
"APPM50305083035","Male","C10016","B","A","4",2730,"B001","P","Y","S133","B",1030,34000,5,"10",4,8,86,4,8,"Monday",70.1315068493151
"APPU10218238809","Male","C10025","A","B","4",4000,"B003","G","Y","S133","C",0,64000,5,"7",12,11,85,12,11,"Monday",69.4054794520548
"APPX80583503129","Male","C10006","A","A","4",3100,"B005","P","Y","S133","B",280,50000,3,"7",9,8,86,9,8,"Monday",70.1452054794521
"APPF20414757906","Male","C10005","A","A","4",2500,"B009","G","Y","S133","C",0,36000,5,"4",20,7,68,20,7,"Monday",52.0794520547945
"APPH70489059147","Male","C10001","A","A","4",4131.2,"B025","G","Y","S122","B",654.8,84000,5,"10",1,5,79,1,5,"Monday",62.8657534246575
"APPJ50680378323","Male","C10003","A","A","4",2400,"B006","P","Y","S133","B",0,30000,4,"4",22,2,91,22,2,"Monday",74.6876712328767
"APPM20391505618","Male","C10051","B","A","4",2500,"B003","G","Y","S133","B",0,10000,5,"7",24,8,88,24,8,"Monday",72.1890410958904
"APPQ40825951007","Male","C10010","A","A","4",2000,"B001","P","Y","S133","B",0,30000,5,"4",28,6,77,28,6,"Monday",61.0246575342466
"APPD60112141339","Male","C10009","B","A","1",2328,"B027","G","Y","S133","C",0,34000,5,"4",17,6,86,17,6,"Monday",70
"APPG20529034641","Female","C10092","C","C","4",3000,"B002","P","Y","S133","E",0,82000,5,"7",2,11,91,2,11,"Monday",75.3808219178082
"APPH10372878707","Male","C10003","A","A","4",2500,"B001","P","Y","S159","B",700,34000,4,"7",26,9,91,26,9,"Monday",75.2794520547945
"APPM30647979203","Male","C10002","A","C","1",2250,"B006","P","Y","S133","B",0,10000,4,"4",29,4,86,29,4,"Monday",69.8657534246575
"APPP50931951519","Male","C10009","B","A","4",2100,"B001","P","Y","S133","B",0,10000,2,"4",3,9,77,3,9,"Monday",61.2082191780822
"APPU80585406022","Female","C10012","A","C","4",3600,"B002","P","Y","S133","B",0,50000,4,"10",5,8,85,5,8,"Monday",69.1342465753425
"APPV50803514138","Male","C10001","A","C","4",2400,"B002","P","Y","S133","C",0,35000,5,"4",9,9,83,9,9,"Monday",67.227397260274
"APPZ20283398511","Male","C10106","C","A","4",2950,"B003","G","Y","S133","E",0,30000,5,"7",5,6,85,5,6,"Monday",68.9671232876712
"APPG60566884232","Male","C10002","A","B","4",4250,"B005","P","Y","S143","B",1150,25000,2,"10",17,1,86,17,1,"Monday",69.586301369863
"APPH40469196342","Female","C10002","A","A","4",4000,"B001","P","Y","S133","E",1000,10000,1,"10",17,4,89,17,4,"Monday",72.8356164383562
"APPJ80149426504","Male","C10002","A","B","4",2265,"B001","P","Y","S133","C",0,36000,5,"4",4,9,82,4,9,"Tuesday",66.2109589041096
"APPN50165347905","Female","C10002","A","C","4",5200,"B001","P","Y","S133","C",0,90000,5,"7",15,2,90,15,2,"Tuesday",73.6657534246575
"APPU80024957622","Male","C10015","C","B","4",5800,"B002","P","Y","S133","E",1900,50000,5,"7",20,7,84,20,7,"Tuesday",68.0876712328767
"APPZ70734327125","Male","C10071","B","A","4",3000,"B001","P","Y","S122","C",0,45000,5,"4",2,6,89,2,6,"Tuesday",72.958904109589
"APPB90506073318","Male","C10007","A","B","4",3500,"B003","G","Y","S133","F",0,54000,5,"10",21,6,87,21,6,"Tuesday",71.0082191780822
"APPN80204188549","Female","C10004","A","A","4",4200,"B002","P","Y","S133","B",0,80000,5,"10",24,6,87,24,6,"Tuesday",71.0164383561644
"APPU40641042248","Male","C10002","A","C","4",2100,"B003","G","Y","S133","F",0,30000,5,"4",25,5,90,25,5,"Tuesday",73.9369863013699
"APPA80543595832","Male","C10002","A","A","4",2000,"B004","P","Y","S122","F",0,29000,5,"4",19,8,85,19,8,"Tuesday",69.1698630136986
"APPG50568676401","Male","C10006","A","C","4",6500,"B005","P","Y","S122","B",2500,83000,5,"10",14,12,86,14,12,"Tuesday",70.4904109589041
"APPH40205894518","Male","C10002","A","B","4",7500,"B005","P","Y","S133","E",900,20000,4,"10",8,11,78,8,11,"Tuesday",62.386301369863
"APPP90271383325","Male","C10006","A","A","4",5300,"B002","P","Y","S143","B",0,10000,2,"10",11,5,83,11,5,"Tuesday",66.8931506849315
"APPY90150171249","Male","C10002","A","C","4",5750,"B005","P","Y","S133","E",693.3,50000,5,"10",7,12,90,7,12,"Tuesday",74.4739726027397
"APPB50189974548","Male","C10004","A","B","3",3500,"B002","P","Y","S159","B",1260,30000,3,"10",1,7,87,1,7,"Tuesday",71.0356164383562
"APPK30790828411","Male","C10001","A","A","4",2500,"B001","P","Y","S133","B",0,30000,5,"7",17,1,91,17,1,"Tuesday",74.586301369863
"APPN60396151703","Male","C10002","A","A","1",6000,"B001","P","Y","S133","E",0,10000,3,"10",24,4,86,24,4,"Tuesday",69.8493150684932
"APPS40607632204","Male","C10006","A","A","4",30000,"B003","G","Y","S133","C",0,120000,5,"7",23,5,83,23,5,"Tuesday",66.9260273972603
"APPV10039458541","Male","C10056","C","A","4",1842.8,"B013","G","Y","S133","B",0,20000,4,"2",6,12,67,6,12,"Tuesday",51.4547945205479
"APPX80247499749","Male","C10032","C","A","4",1700,"B003","G","Y","S133","B",0,20000,5,"2",28,6,87,28,6,"Tuesday",71.027397260274
"APPZ10596905948","Male","C10002","A","C","4",8000,"B002","P","Y","S133","B",0,50000,1,"0",24,4,72,24,4,"Tuesday",55.841095890411
"APPH70830874733","Male","C10001","A","C","4",5600,"B003","G","Y","S137","B",0,1e+05,3,"10",21,2,87,21,2,"Tuesday",70.6794520547945
"APPI50113622801","Male","C10336","C","A","4",2500,"B004","P","Y","S133","B",0,20000,5,"7",24,7,79,24,7,"Tuesday",63.0931506849315
"APPO40883945449","Male","C10002","A","B","4",2000,"B002","P","Y","S134","B",0,30000,5,"4",11,7,90,11,7,"Tuesday",74.0657534246575
"APPX30297672303","Male","C10001","A","C","4",20000,"B001","P","Y","S133","B",4000,1e+05,5,"10",1,5,82,1,5,"Tuesday",65.8657534246575
"APPZ10308487534","Male","C10006","A","A","1",2859.6,"B003","G","Y","S159","B",0,50000,4,"7",19,4,86,19,4,"Tuesday",69.8356164383562
"APPH40025379313","Male","C10014","B","B","4",2450,"B004","P","Y","S133","C",0,36000,5,"4",8,11,83,8,11,"Tuesday",67.3890410958904
"APPJ20331364537","Male","C10003","A","B","3",3300,"B001","P","Y","S133","E",0,20000,3,"10",7,10,78,7,10,"Tuesday",62.2986301369863
"APPK50010242607","Male","C10001","A","B","4",2500,"B003","G","Y","S133","B",800,35000,5,"7",19,6,88,19,6,"Tuesday",72.0054794520548
"APPN20928691933","Male","C10003","A","B","4",5700,"B006","P","Y","S133","B",800,5000,1,"10",25,8,83,25,8,"Tuesday",67.1835616438356
"APPQ50447565208","Male","C10005","A","B","2",6000,"B004","P","Y","S133","E",0,1e+05,4,"10",29,7,87,29,7,"Tuesday",71.1123287671233
"APPC70123178426","Male","C10001","A","A","4",4500,"B030","P","Y","S133","C",0,74000,5,"7",11,7,79,11,7,"Tuesday",63.0575342465753
"APPD50735122535","Male","C10001","A","A","4",2800,"B001","P","Y","S122","B",0,10000,2,"7",26,3,88,26,3,"Tuesday",71.772602739726
"APPU90640011228","Male","C10001","A","A","4",2038.6,"","","Y","S133","E",0,30000,3,"4",3,2,89,3,2,"Tuesday",72.6328767123288
"APPW80278176427","Male","C10094","C","A","4",4500,"B001","P","Y","S133","B",0,30000,3,"10",11,7,85,11,7,"Tuesday",69.0630136986301
"APPE30624812217","Male","C10007","A","A","4",2704.9,"B026","P","Y","S134","B",0,10000,3,"10",15,7,92,15,7,"Tuesday",76.0794520547945
"APPF30234809334","Male","C10095","C","C","4",2500,"","","Y","S156","B",400,50000,5,"7",17,8,91,17,8,"Tuesday",75.1671232876712
"APPJ90515892714","Male","C10009","B","A","4",3000,"B027","G","Y","S133","C",0,45000,5,"7",17,4,89,17,4,"Tuesday",72.8328767123288
"APPP70348427334","Female","C10003","A","A","4",2850,"","","Y","S122","B",321.6,63000,5,"7",18,12,75,18,12,"Tuesday",59.4931506849315
"APPU40068273809","Male","C10003","A","A","4",4500,"B002","P","Y","S122","B",1200,30000,4,"10",21,8,85,21,8,"Tuesday",69.1753424657534
"APPC50444419619","Female","C10005","A","B","2",3200,"B005","P","Y","S133","B",600,40000,5,"10",21,11,88,21,11,"Tuesday",72.4301369863014
"APPL50511242521","Male","C10016","B","A","4",20000,"B001","P","Y","S133","B",0,20000,3,"10",9,2,84,9,2,"Tuesday",67.6438356164384
"APPM10767248617","Female","C10001","A","B","4",2400,"B013","G","Y","S133","B",0,15000,1,"4",6,9,88,6,9,"Tuesday",72.2219178082192
"APPT90598718322","Male","C10002","A","C","1",3000,"B002","P","Y","S133","B",0,30000,2,"10",10,1,88,10,1,"Tuesday",71.5643835616438
"APPV80659893521","Male","C10005","A","B","4",1500,"B016","G","Y","S133","B",0,18000,2,"0",26,3,90,26,3,"Tuesday",73.772602739726
"APPW70068173635","Male","C10007","A","C","4",3500,"B001","P","Y","S143","B",0,17000,1,"10",29,4,90,29,4,"Tuesday",73.8657534246575
"APPE10111951436","Male","C10001","A","C","4",15000,"B002","P","Y","S133","B",1000,50000,5,"10",6,4,77,6,4,"Tuesday",60.7945205479452
"APPG40759431641","Male","C10081","C","A","4",2860,"B030","P","Y","S133","B",1118.5,10000,5,"7",17,9,80,17,9,"Tuesday",64.2465753424657
"APPH70964195727","Male","C10161","C","A","4",1800,"B027","G","Y","S133","E",0,20000,3,"2",20,12,86,20,12,"Tuesday",70.5068493150685
"APPI60663752813","Male","C10001","A","C","4",3200,"B004","P","Y","S122","B",500,30000,3,"10",22,4,79,22,4,"Tuesday",62.8383561643836
"APPZ10710353531","Male","C10010","A","B","4",82000,"B005","P","Y","S133","B",0,30000,5,"10",25,6,88,25,6,"Tuesday",72.0219178082192
"APPE20612238019","Male","C10117","C","A","4",3729.2,"B018","G","Y","S133","B",900.5,50000,5,"7",9,9,72,9,9,"Tuesday",56.2191780821918
"APPF30022899123","Female","C10012","A","C","4",2800,"B001","P","Y","S133","C",0,45000,5,"7",12,4,91,12,4,"Tuesday",74.8191780821918
"APPO20858661018","Male","C10003","A","B","1",3000,"B001","P","Y","S122","C",0,45000,5,"4",29,3,91,29,3,"Tuesday",74.7808219178082
"APPQ40331143221","Male","C10009","B","B","4",1800,"B002","P","Y","S122","B",0,10000,5,"2",19,7,90,19,7,"Tuesday",74.0876712328767
"APPR40274809303","Female","C10018","C","A","4",2000,"","","Y","S122","C",0,29000,5,"4",31,3,59,31,3,"Tuesday",42.7643835616438
"APPS10603295421","Male","C10169","C","A","4",3500,"B001","P","Y","S156","B",700,34000,2,"7",14,8,88,14,8,"Tuesday",72.158904109589
"APPT80741786502","Male","C10003","A","A","4",3600,"B003","G","Y","S159","C",0,58000,5,"4",22,8,80,22,8,"Tuesday",64.1753424657534
"APPU50878906612","Female","C10002","A","A","4",2100,"B004","P","Y","S143","B",0,10000,1,"4",24,2,90,24,2,"Tuesday",73.6904109589041
"APPV40663444726","Male","C10004","A","C","4",17500,"B026","P","Y","S127","B",0,150000,5,"10",25,4,87,25,4,"Tuesday",70.8520547945206
"APPX20045587931","Male","C10023","B","A","4",3600,"B003","G","Y","S133","C",0,58000,5,"4",14,8,74,14,8,"Tuesday",58.1479452054795
"APPA90583679201","Male","C10020","A","B","2",10000,"B001","P","Y","S133","F",0,120000,5,"7",19,12,86,19,12,"Tuesday",70.5041095890411
"APPL50687882316","Male","C10001","A","A","4",3050,"B004","P","Y","S137","B",0,80000,5,"7",20,3,84,20,3,"Tuesday",67.7534246575343
"APPQ80165864815","Male","C10004","A","A","4",2200,"B002","P","Y","S133","B",300,10000,2,"4",2,8,85,2,8,"Tuesday",69.1232876712329
"APPV60488137307","Male","C10005","A","B","4",2000,"B001","P","Y","S143","C",0,29000,5,"4",22,6,92,22,6,"Tuesday",76.0164383561644
"APPZ90930572702","Male","C10003","A","C","4",5150,"B002","P","Y","S133","B",96,50000,5,"10",2,8,84,2,8,"Tuesday",68.1232876712329
"APPA80475695803","Male","C10002","A","C","4",4200,"B005","P","Y","S133","B",0,10000,5,"10",29,7,84,29,7,"Tuesday",68.1123287671233
"APPB70238234931","Male","C10006","A","C","4",2900,"B001","P","Y","S133","B",549,50000,5,"10",30,5,85,30,5,"Tuesday",68.9479452054795
"APPD50180012104","Male","C10003","A","B","2",7000,"B002","P","Y","S122","B",1300,50000,5,"10",5,4,87,5,4,"Tuesday",70.7972602739726
"APPL30825963912","Male","C10006","A","A","1",1800,"B007","G","Y","S122","B",0,30000,5,"2",3,3,86,3,3,"Tuesday",69.7068493150685
"APPN30739197136","Male","C10001","A","A","4",3500,"B011","P","Y","S143","C",0,54000,5,"7",25,7,91,25,7,"Tuesday",75.1041095890411
"APPX90344362144","Male","C10001","A","C","4",2400,"B001","P","Y","S143","B",0,39000,3,"4",3,3,85,3,3,"Tuesday",68.7068493150685
"APPC40754772628","Female","C10004","A","B","4",3000,"B001","P","Y","S122","B",0,15000,1,"7",3,3,86,3,3,"Tuesday",69.7068493150685
"APPD30878222745","Female","C10002","A","C","4",3440,"B006","P","Y","S133","C",0,53000,5,"4",23,9,88,23,9,"Tuesday",72.2684931506849
"APPJ40756551305","Male","C10005","A","C","4",7100,"B001","P","Y","S133","E",1500,1e+05,5,"10",3,4,88,3,4,"Tuesday",71.7945205479452
"APPP20746167905","Male","C10002","A","B","4",4800,"B004","P","Y","S133","C",0,79000,5,"7",4,11,88,4,11,"Tuesday",72.3835616438356
"APPR10622599105","Female","C10012","A","A","4",4500,"B001","P","Y","S133","B",0,79000,5,"10",15,5,87,15,5,"Tuesday",70.9068493150685
"APPX90734746704","Male","C10003","A","A","4",3500,"B037","G","Y","S133","B",1200,5000,2,"10",2,6,80,2,6,"Tuesday",63.9534246575342
"APPY20878752821","Female","C10002","A","C","3",3400,"B012","G","Y","S133","B",0,89000,5,"10",22,6,79,22,6,"Tuesday",63.0054794520548
"APPF40797342533","Male","C10006","A","A","4",2700,"B003","G","Y","S159","B",350,10000,3,"7",5,10,77,5,10,"Tuesday",61.2931506849315
"APPH50775914733","Male","C10007","A","B","4",1500,"B032","G","Y","S133","C",0,33000,5,"2",10,10,74,10,10,"Tuesday",58.3041095890411
"APPJ60096259902","Male","C10004","A","A","1",10000.1,"B002","P","Y","S133","E",4000,1e+05,5,"10",12,6,70,12,6,"Tuesday",53.972602739726
"APPN20174901333","Male","C10001","A","A","4",2200,"B004","P","Y","S133","B",0,20000,4,"4",10,12,92,10,12,"Tuesday",76.4849315068493
"APPQ50269164646","Male","C10114","C","A","4",1650,"B022","G","Y","S133","B",0,37000,5,"2",5,7,71,5,7,"Wednesday",55.0328767123288
"APPX90166884312","Male","C10016","B","C","4",3000,"B001","P","Y","S151","C",0,49000,5,"4",4,9,88,4,9,"Wednesday",72.213698630137
"APPA40868971648","Male","C10007","A","A","4",2000,"B003","G","Y","S133","F",0,29000,5,"4",22,1,76,22,1,"Wednesday",59.586301369863
"APPD90609057939","Male","C10001","A","B","4",5400,"B011","P","Y","S133","B",600,30000,5,"10",11,3,83,11,3,"Wednesday",66.7232876712329
"APPG40922681216","Male","C10006","A","B","4",4700,"B004","P","Y","S122","F",0,57000,3,"7",25,6,88,25,6,"Wednesday",72.0191780821918
"APPH40448048349","Male","C10015","C","C","1",2899.9,"B014","P","Y","S159","C",0,47000,5,"4",29,2,88,29,2,"Wednesday",71.6986301369863
"APPP30613035149","Male","C10003","A","C","1",6000,"B001","P","Y","S133","B",0,50000,3,"10",15,12,82,15,12,"Wednesday",66.4876712328767
"APPR20570407317","Female","C10005","A","C","1",2000,"B001","P","Y","S133","C",0,31000,5,"4",17,10,94,17,10,"Wednesday",78.3342465753425
"APPS20029994405","Male","C10002","A","C","4",8550,"B001","P","Y","S133","B",0,50000,4,"10",10,10,77,10,10,"Wednesday",61.3041095890411
"APPB70626534334","Male","C10019","B","A","4",2500,"B023","G","Y","S133","B",500,20000,3,"7",17,4,83,17,4,"Wednesday",66.8246575342466
"APPD40973037516","Male","C10001","A","B","2",3100,"B005","P","Y","S133","E",510,10000,4,"10",10,4,90,10,4,"Wednesday",73.8109589041096
"APPE40238589639","Male","C10001","A","A","4",1880,"B005","P","Y","S122","F",0,42000,5,"2",15,9,85,15,9,"Wednesday",69.241095890411
"APPL40875332311","Male","C10001","A","C","4",50000,"B005","P","Y","S122","B",0,50000,3,"10",14,4,86,14,4,"Wednesday",69.8191780821918
"APPY60940609605","Male","C10001","A","A","4",2500,"B016","G","Y","S122","C",0,36000,5,"7",22,6,85,22,6,"Wednesday",69.0082191780822
"APPB10114701937","Male","C10005","A","A","4",3000,"B024","G","Y","S133","B",500,10000,2,"10",27,12,87,27,12,"Wednesday",71.5232876712329
"APPC30021119008","Male","C10033","C","A","4",4150,"B003","G","Y","S133","E",0,50000,5,"10",16,10,81,16,10,"Wednesday",65.3232876712329
"APPF10938942301","Male","C10003","A","A","4",2000,"B002","P","Y","S133","B",400,10000,2,"4",10,12,89,10,12,"Wednesday",73.4794520547945
"APPH90012424503","Male","C10014","B","A","4",2500,"B001","P","Y","S159","C",0,36000,5,"7",17,9,79,17,9,"Wednesday",63.241095890411
"APPJ50974831734","Male","C10003","A","C","4",4080,"B001","P","Y","S133","E",589.8,32000,5,"10",14,12,84,14,12,"Wednesday",68.4876712328767
"APPN80469426121","Male","C10281","C","A","4",4000,"B026","P","Y","S133","B",800,50000,4,"7",7,4,79,7,4,"Wednesday",62.7945205479452
"APPT40608248708","Male","C10001","A","A","4",6000,"B003","G","Y","S143","B",1400,1e+05,5,"10",9,10,77,9,10,"Wednesday",61.3013698630137
"APPV80515564933","Male","C10007","A","B","4",6300,"B001","P","Y","S122","B",0,40000,3,"10",19,1,81,19,1,"Wednesday",64.5835616438356
"APPA40537538435","Male","C10009","B","A","4",3700,"B049","G","Y","S122","B",0,70000,5,"10",3,10,89,3,10,"Wednesday",73.2931506849315
"APPC10285525601","Male","C10002","A","A","4",3900,"B004","P","Y","S133","B",0,50000,4,"7",16,3,86,16,3,"Wednesday",69.7397260273973
"APPJ70339692337","Male","C10001","A","B","4",4500,"B005","P","Y","S133","B",0,50000,5,"10",3,3,88,3,3,"Wednesday",71.7068493150685
"APPL50133596532","Male","C10005","A","B","2",2500,"B011","P","Y","S159","B",1000,8000,1,"7",14,3,92,14,3,"Wednesday",75.7397260273973
"APPO40262957831","Male","C10002","A","B","4",5500,"B002","P","Y","S133","B",1500,20000,3,"10",10,10,86,10,10,"Wednesday",70.3095890410959
"APPQ40851809026","Male","C10002","A","A","3",4000,"B001","P","Y","S133","B",1000,25000,5,"10",24,8,88,24,8,"Wednesday",72.1835616438356
"APPS60494949226","Male","C10009","B","C","4",1500,"B023","G","Y","S133","B",0,29000,4,"2",19,11,82,19,11,"Wednesday",66.4164383561644
"APPX70532903727","Male","C10002","A","B","4",3073.3,"B001","P","Y","S143","B",0,8000,1,"7",15,6,86,15,6,"Wednesday",69.9890410958904
"APPY20237852803","Female","C10002","A","A","4",4700,"B004","P","Y","S133","B",0,50000,5,"10",2,5,86,2,5,"Wednesday",69.8684931506849
"APPC70517579212","Male","C10001","A","B","4",2600,"B002","P","Y","S133","B",0,30000,2,"10",10,6,88,10,6,"Wednesday",71.9780821917808
"APPF70588317523","Male","C10001","A","C","4",8400,"B003","G","Y","S137","B",0,50000,4,"10",27,3,76,27,3,"Wednesday",59.7643835616438
"APPG40905418608","Male","C10013","B","A","4",2000,"B010","G","Y","S159","C",0,29000,5,"4",9,9,95,9,9,"Wednesday",79.2301369863014
"APPK30244505004","Male","C10005","A","A","4",4000,"B004","P","Y","S137","B",700,20000,1,"10",1,6,91,1,6,"Wednesday",74.9534246575342
"APPQ40146738627","Male","C10029","C","A","1",1600,"B003","G","Y","S133","C",0,37000,5,"2",5,4,87,5,4,"Wednesday",70.7945205479452
"APPS40879748806","Male","C10022","B","B","4",2200,"B003","G","Y","S133","B",0,32000,5,"4",4,6,92,4,6,"Wednesday",75.9643835616438
"APPZ40000846547","Male","C10001","A","A","4",4800,"B005","P","Y","S122","B",0,50000,5,"10",15,7,66,15,7,"Wednesday",50.0575342465753
"APPE60494623026","Male","C10004","A","A","1",3000,"B005","P","Y","S133","B",350,30000,3,"10",27,8,85,27,8,"Wednesday",69.1890410958904
"APPN20840473922","Male","C10013","B","A","4",3500,"B008","G","Y","S133","C",0,54000,5,"7",25,7,82,25,7,"Wednesday",66.0958904109589
"APPS10231524445","Male","C10001","A","A","4",4000,"B001","P","Y","S143","B",1000,30000,5,"10",14,3,84,14,3,"Wednesday",67.7342465753425
"APPC10687434437","Male","C10001","A","A","4",3100,"B001","P","Y","S137","B",0,81000,5,"7",26,6,82,26,6,"Wednesday",66.0164383561644
"APPF40288156734","Male","C10001","A","A","4",3900,"B001","P","Y","S137","B",0,1e+05,5,"7",28,6,84,28,6,"Wednesday",68.0246575342466
"APPW60325554402","Male","C10002","A","C","4",70000,"B001","P","Y","S122","B",0,30000,3,"10",12,2,80,12,2,"Wednesday",63.6465753424658
"APPY20156524615","Male","C10002","A","A","4",10000,"B030","P","Y","S133","C",0,150000,5,"7",21,3,93,21,3,"Wednesday",76.758904109589
"APPZ80209517716","Male","C10010","A","C","4",1800,"B002","P","Y","S122","B",0,20000,5,"2",15,10,89,15,10,"Wednesday",73.3260273972603
"APPD60651082147","Male","C10005","A","A","4",2800,"B004","P","Y","S133","C",0,42000,5,"4",10,1,89,10,1,"Wednesday",72.5643835616438
"APPI60219827621","Male","C10002","A","A","4",6000,"B003","G","Y","S122","C",0,104000,5,"7",4,4,76,4,4,"Wednesday",59.786301369863
"APPZ20380793313","Male","C10005","A","C","4",3500,"B001","P","Y","S133","F",0,68000,5,"4",6,9,76,6,9,"Wednesday",60.2109589041096
"APPG80362583007","Male","C10005","A","C","4",7300,"B002","P","Y","S122","B",0,16000,2,"10",30,10,85,30,10,"Wednesday",69.3643835616438
"APPJ40611742308","Male","C10001","A","A","4",1900,"B045","G","Y","S122","B",0,43000,5,"2",21,11,61,21,11,"Wednesday",45.4082191780822
"APPR30507553115","Female","C10002","A","A","4",2300,"B002","P","Y","S133","B",450,10000,3,"4",30,4,93,30,4,"Wednesday",76.8684931506849
"APPU90522763428","Male","C10003","A","B","4",6500,"B002","P","Y","S159","C",0,112000,5,"10",15,10,75,15,10,"Wednesday",59.3150684931507
"APPV90169623547","Male","C10012","A","A","4",1500,"B003","G","Y","S159","C",0,33000,5,"2",21,12,87,21,12,"Wednesday",71.5068493150685
"APPY80579906801","Female","C10007","A","A","4",2200,"B002","P","Y","S133","B",0,44000,5,"4",6,4,87,6,4,"Wednesday",70.7972602739726
"APPH80893905707","Female","C10004","A","C","2",3000,"B002","P","Y","S133","B",0,10000,1,"10",5,6,90,5,6,"Wednesday",73.9643835616438
"APPN10199866325","Male","C10003","A","A","4",2200,"B008","G","Y","S159","B",500,30000,5,"4",3,1,83,3,1,"Wednesday",66.5397260273973
"APPT90959432946","Male","C10004","A","C","2",9000,"B006","P","Y","S122","B",3300,1e+05,5,"10",8,4,84,8,4,"Wednesday",67.8027397260274
"APPY60378063401","Male","C10005","A","A","4",8100,"B001","P","Y","S133","B",1200,150000,5,"10",19,4,79,19,4,"Wednesday",62.827397260274
"APPC20665702837","Male","C10002","A","A","4",2800,"B003","G","Y","S133","C",0,42000,5,"4",19,9,76,19,9,"Wednesday",60.2465753424658
"APPD50461599948","Male","C10032","C","C","4",2000,"B002","P","Y","S122","B",200,10000,3,"4",20,11,92,20,11,"Wednesday",76.427397260274
"APPG90877755219","Male","C10005","A","C","4",3500,"B002","P","Y","S133","C",0,54000,5,"7",7,3,91,7,3,"Wednesday",74.7178082191781
"APPI10167144436","Male","C10007","A","C","1",1200,"B001","P","Y","S133","C",0,27000,5,"2",1,7,89,1,7,"Wednesday",73.0356164383562
"APPU60750605615","Male","C10006","A","A","1",3250,"B003","G","Y","S133","F",0,50000,5,"4",1,8,88,1,8,"Wednesday",72.1205479452055
"APPG90630855832","Female","C10003","A","A","4",1800,"B013","G","Y","S123","B",400,20000,4,"2",6,9,87,6,9,"Wednesday",71.2164383561644
"APPI30209438027","Male","C10001","A","A","4",3964.9,"B001","P","Y","S133","E",0,10000,1,"10",29,3,86,29,3,"Wednesday",69.7753424657534
"APPN20441509539","Male","C10006","A","C","4",2700,"B002","P","Y","S133","B",0,5000,1,"7",18,6,88,18,6,"Wednesday",72
"APPO70233814603","Male","C10025","A","C","4",6700,"","","Y","S133","E",2500,50000,5,"10",15,5,78,15,5,"Wednesday",61.8986301369863
"APPP10583216723","Male","C10010","A","A","4",1900,"B002","P","Y","S122","F",0,43000,5,"2",9,12,91,9,12,"Wednesday",75.4767123287671
"APPS60802889002","Female","C10009","B","A","4",1300,"B001","P","Y","S133","C",0,30000,5,"2",18,11,88,18,11,"Wednesday",72.4191780821918
"APPU10367037222","Female","C10002","A","A","4",2500,"B001","P","Y","S133","E",0,68000,5,"7",26,2,91,26,2,"Wednesday",74.6931506849315
"APPW60367111401","Male","C10003","A","B","4",4380,"B001","P","Y","S133","F",0,56000,3,"7",3,8,89,3,8,"Wednesday",73.1260273972603
"APPX70104929532","Male","C10005","A","A","4",2000,"B001","P","Y","S133","B",589.8,20000,5,"4",17,4,81,17,4,"Wednesday",64.8246575342466
